"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","ProcessName","MainWindowHandle","MainWindowTitle","Responding","Site","Container"
"Code","2","335","2238074798080","26599424","13008896","17192","C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --user-data-dir=""C:\Users\adminuser\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --mojo-platform-channel-handle=1376 --field-trial-handle=1900,i,8662425306475807908,460771018040162278,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand /prefetch:8","System.Diagnostics.Process (Code)","Microsoft Corporation","0.1875","1.78.2","1.78.2","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","9812","8",,"False","6/6/2023 6:53:31 AM",,"196",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","17192","17192","13008896","13008896","559216","559216","13414400","13414400","27176960","27176960","2238148198400","470237184","True","Normal","13008896","13008896","3","2",,"System.Diagnostics.ProcessThreadCollection","335","2238074798080","396836864","False",,,,"26599424","26599424",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.1250000","00:00:00.1875000","00:00:00.0625000","Code","0","","True",,
"Code","2","268","3407981731840","44216320","25260032","17160","C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --user-data-dir=""C:\Users\adminuser\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --mojo-platform-channel-handle=3752 --field-trial-handle=1900,i,8662425306475807908,460771018040162278,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand /prefetch:8","System.Diagnostics.Process (Code)","Microsoft Corporation","2.046875","1.78.2","1.78.2","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","6456","8",,"False","6/6/2023 6:53:34 AM",,"2280",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","17160","17160","25260032","25260032","555216","555216","31027200","31027200","48603136","48603136","3408015286272","2106220544","True","Normal","25260032","25260032","3","2",,"System.Diagnostics.ProcessThreadCollection","268","3407981731840","2072666112","False",,,,"44216320","44216320",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.7187500","00:00:02.0468750","00:00:01.3281250","Code","0","","True",,
"Code","2","211","3407887130624","39612416","25051136","14168","C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --ms-enable-electron-run-as-node ""c:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\resources\app\extensions\json-language-features\server\dist\node\jsonServerMain"" --node-ipc --clientProcessId=5544","System.Diagnostics.Process (Code)","Microsoft Corporation","0.4375","1.78.2","1.78.2","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7496","8",,"False","6/6/2023 9:42:59 AM",,"2632",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","14168","14168","25051136","25051136","538744","538744","26648576","26648576","40808448","40808448","3407904149504","1995083776","True","Normal","25051136","25051136","3","2",,"System.Diagnostics.ProcessThreadCollection","211","3407887130624","1978064896","False",,,,"39612416","39612416",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.1250000","00:00:00.4375000","00:00:00.3125000","Code","0","","True",,
"Code","2","347","3407990079488","100114432","75444224","19656","C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --inspect-port=0 --user-data-dir=""C:\Users\adminuser\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --mojo-platform-channel-handle=3252 --field-trial-handle=1900,i,8662425306475807908,460771018040162278,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand /prefetch:8","System.Diagnostics.Process (Code)","Microsoft Corporation","37.25","1.78.2","1.78.2","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7724","8",,"False","6/6/2023 6:53:34 AM",,"5544",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","19656","19656","75444224","75444224","568248","568248","90841088","90841088","105472000","105472000","3408023633920","2114568192","True","Normal","75444224","75444224","3","2",,"System.Diagnostics.ProcessThreadCollection","347","3407990079488","2081013760","False",,,,"100114432","100114432",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:09.5000000","00:00:37.2500000","00:00:27.7500000","Code","0","","True",,
"Code","2","324","3407989321728","60420096","37847040","18168","C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --user-data-dir=""C:\Users\adminuser\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --mojo-platform-channel-handle=3728 --field-trial-handle=1900,i,8662425306475807908,460771018040162278,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand /prefetch:8","System.Diagnostics.Process (Code)","Microsoft Corporation","12.671875","1.78.2","1.78.2","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","7128","8",,"False","6/6/2023 6:53:34 AM",,"5800",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","18168","18168","37847040","37847040","559616","559616","72097792","72097792","95289344","95289344","3408006922240","2097856512","True","Normal","37847040","37847040","3","2",,"System.Diagnostics.ProcessThreadCollection","324","3407989321728","2080256000","False",,,,"60420096","60420096",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:03.0781250","00:00:12.6718750","00:00:09.5937500","Code","0","","True",,
"Code","2","965","3408300986368","101216256","42647552","41648","C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe"" ","System.Diagnostics.Process (explorer)","Microsoft Corporation","65.15625","1.78.2","1.78.2","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8132","8",,"False","6/6/2023 6:53:30 AM",,"6132",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","41648","41648","42647552","42647552","912904","912904","51941376","51941376","103370752","103370752","3408346316800","-1857716224","True","Normal","42647552","42647552","3","2",,"System.Diagnostics.ProcessThreadCollection","965","3408300986368","-1903046656","False",,,,"101216256","101216256",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:26.0625000","00:01:05.1562500","00:00:39.0937500","Code","262664","Export-Csv.ps1 - Azure-Stack-Repo - Visual Studio Code [Administrator]","True",,
"Code","2","369","2238297010176","99831808","135020544","36760","C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=gpu-process --user-data-dir=""C:\Users\adminuser\AppData\Roaming\Code"" --gpu-preferences=UAAAAAAAAADgAAAYAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAAAQAAAAAAAAAAAAAAAAAAAAAAAAAEgAAAAAAAAASAAAAAAAAAAYAAAAAgAAABAAAAAAAAAAGAAAAAAAAAAQAAAAAAAAAAAAAAAOAAAAEAAAAAAAAAABAAAADgAAAAgAAAAAAAAACAAAAAAAAAA= --mojo-platform-channel-handle=1768 --field-trial-handle=1900,i,8662425306475807908,460771018040162278,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand /prefetch:2","System.Diagnostics.Process (Code)","Microsoft Corporation","336.578125","1.78.2","1.78.2","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8248","10",,"False","6/6/2023 6:53:31 AM",,"6980",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","36760","36760","135020544","135020544","702816","702816","150286336","150286336","103882752","103882752","2238299156480","621195264","True","AboveNormal","135020544","135020544","3","2",,"System.Diagnostics.ProcessThreadCollection","369","2238297010176","619048960","False",,,,"99831808","99831808",,"System.Diagnostics.ProcessModule (Code.exe)","00:01:18.7031250","00:05:36.5781250","00:04:17.8750000","Code","0","","True",,
"Code","2","489","3417748099072","292986880","223088640","39600","C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=renderer --user-data-dir=""C:\Users\adminuser\AppData\Roaming\Code"" --standard-schemes=vscode-webview,vscode-file --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-user-model-id=Microsoft.VisualStudioCode --app-path=""C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\resources\app"" --enable-sandbox --enable-blink-features=HighlightAPI,WebAppWindowControlsOverlay --first-renderer-process --lang=en-US --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=4 --time-ticks-at-unix-epoch=-1686033584438387 --launch-time-ticks=827279544 --mojo-platform-channel-handle=2644 --field-trial-handle=1900,i,8662425306475807908,460771018040162278,131072 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess,WinRetrieveSuggestionsOnlyOnDemand --vscode-window-config=vscode:4f48916b-f2db-4550-aca5-833430412372 /prefetch:1","System.Diagnostics.Process (Code)","Microsoft Corporation","505.5","1.78.2","1.78.2","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8240","8",,"False","6/6/2023 6:53:32 AM",,"7060",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","39600","39600","223088640","223088640","755928","755928","231378944","231378944","294948864","294948864","3419165384704","371417088","True","Normal","223088640","223088640","3","2",,"System.Diagnostics.ProcessThreadCollection","489","3417748099072","-1045868544","False",,,,"292986880","292986880",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:30.5781250","00:08:25.5000000","00:07:54.9218750","Code","0","","True",,
"Code","2","262","3410103296000","54710272","70221824","104984","C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --ms-enable-electron-run-as-node ""c:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\resources\app\out\bootstrap-fork"" --type=ptyHost --logsPath c:\Users\adminuser\AppData\Roaming\Code\logs\20230606T065331","System.Diagnostics.Process (Code)","Microsoft Corporation","6.421875","1.78.2","1.78.2","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8236","8",,"False","6/6/2023 6:53:37 AM",,"7588",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","104984","104984","70221824","70221824","549208","549208","121331712","121331712","60059648","60059648","3410108100608","-95932416","True","Normal","70221824","70221824","3","2",,"System.Diagnostics.ProcessThreadCollection","262","3410103296000","-100737024","False",,,,"54710272","54710272",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:02.8437500","00:00:06.4218750","00:00:03.5781250","Code","0","","True",,
"Code","2","258","2238028738560","15048704","11350016","13640","C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe","""C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --type=crashpad-handler --user-data-dir=C:\Users\adminuser\AppData\Roaming\Code /prefetch:7 --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=C:\Users\adminuser\AppData\Roaming\Code\Crashpad --url=appcenter://code?aid=a4e3233c-699c-46ec-b4f4-9c2a77254662&uid=c25b476c-785a-43f1-b50a-714614ff9b15&iid=c25b476c-785a-43f1-b50a-714614ff9b15&sid=c25b476c-785a-43f1-b50a-714614ff9b15 --annotation=IsOfficialBuild=1 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.78.2 ""--annotation=exe=C:\Users\adminuser\AppData\Local\Programs\Microsoft VS Code\Code.exe"" --annotation=plat=Win64 --annotation=prod=Electron --annotation=ver=22.5.2 --initial-client-data=0x498,0x49c,0x4a0,0x494,0x4a4,0x7ff60f4f8a58,0x7ff60f4f8a68,0x7ff60f4f8a78","System.Diagnostics.Process (Code)","Microsoft Corporation","0.0625","1.78.2","1.78.2","Visual Studio Code","Visual Studio Code","Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","8336","8",,"False","6/6/2023 6:53:30 AM",,"7812",".","1413120","204800","System.Diagnostics.ProcessModuleCollection","13640","13640","11350016","11350016","515904","515904","11415552","11415552","15052800","15052800","2238045462528","367501312","True","Normal","11350016","11350016","3","2",,"System.Diagnostics.ProcessThreadCollection","258","2238028738560","350777344","False",,,,"15048704","15048704",,"System.Diagnostics.ProcessModule (Code.exe)","00:00:00.0625000","00:00:00.0625000","00:00:00","Code","0","","True",,
